2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_16042026.csv (14.8 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_17042026 (1).csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_17042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_19032026.csv (15.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_20032026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_20042026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_21042026.csv (14.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_22042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_23032026.csv (15.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_23042026.csv (15.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_24032026.csv (15.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_24042026.csv (15.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_25032026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_27032026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_27042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_28042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_29042026.csv (15.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_01042026.csv (350.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_02042026.csv (348.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_06042026.csv (351.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_07042026.csv (349.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_08042026.csv (356.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_09042026.csv (349.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_10042026.csv (352.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_13042026.csv (350.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_15042026.csv (354.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_16042026.csv (351.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_17042026.csv (353.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_18032026.csv (351.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_19032026.csv (348.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20032026.csv (351.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (1).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (2).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026 (3).csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_20042026.csv (362.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_21042026.csv (361.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (1).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (2).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (3).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026 (4).csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_22042026.csv (359.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_23032026.csv (357.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_23042026.csv (360.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
