2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 32 rows
2026-05-05 21:58:54 | WARNING  | pipeline.writers | Append failed (Empty table or column name specified), trying upsert mode
2026-05-05 21:58:54 | INFO     | pipeline.writers | Upsert wrote 0 rows to market_snapshot
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 142 rows
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter: wrote 142 rows to market_snapshot
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 142 rows
2026-05-05 21:58:54 | INFO     | pipeline.writers | SQLiteWriter: wrote 142 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 142 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 142 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 142 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 142 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 142 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 142 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter: wrote 147 rows to market_snapshot
2026-05-05 21:58:55 | INFO     | pipeline.writers | SQLiteWriter → market_snapshot: 147 rows
