2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_06042026.csv (14.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_07042026.csv (14.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_08042026.csv (15.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_09042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_10042026.csv (15.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_13042026.csv (15.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_15042026.csv (15.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_16042026.csv (14.8 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_17042026 (1).csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_17042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_19032026.csv (15.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_20032026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_20042026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_21042026.csv (14.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_22042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_23032026.csv (15.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_23042026.csv (15.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_24032026.csv (15.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_24042026.csv (15.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_25032026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_27032026.csv (15.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
